"Statistic Label","Quarter","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Persons aged 15-89 years in Employment","1999Q2","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","71.5"
"Persons aged 15-89 years in Employment","1999Q2","Both sexes","Education (P)","Thousand","100.3"
"Persons aged 15-89 years in Employment","1999Q2","Both sexes","Human health and social work activities (Q)","Thousand","129.4"
"Persons aged 15-89 years in Employment","1999Q2","Both sexes","Industry (B to E)","Thousand","326.4"
"Persons aged 15-89 years in Employment","1999Q2","Both sexes","Industry and Construction (B to F)","Thousand","446.8"
"Persons aged 15-89 years in Employment","1999Q2","Both sexes","Services (G to U)","Thousand","1084.1"
"Persons aged 15-89 years in Employment","1999Q2","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","72.4"
"Persons aged 15-89 years in Employment","1999Q2","Both sexes","Other NACE activities (R to U)","Thousand","80.5"
"Persons aged 15-89 years in Employment","1999Q2","Both sexes","Not stated","Thousand","10"
"Persons aged 15-89 years in Employment","1999Q2","Male","All NACE economic sectors","Thousand","1001.8"
"Persons aged 15-89 years in Employment","1999Q2","Male","Agriculture, forestry and fishing (A)","Thousand","119.8"
"Persons aged 15-89 years in Employment","1999Q2","Male","Construction (F)","Thousand","116.3"
"Persons aged 15-89 years in Employment","1999Q2","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","120.7"
"Persons aged 15-89 years in Employment","1999Q2","Male","Transportation and storage (H)","Thousand","58.7"
"Persons aged 15-89 years in Employment","1999Q2","Male","Accommodation and food service activities (I)","Thousand","49.5"
"Persons aged 15-89 years in Employment","1999Q2","Male","Information and communication (J)","Thousand","47"
"Persons aged 15-89 years in Employment","1999Q2","Male","Professional, scientific and technical activities (M)","Thousand","49.4"
"Persons aged 15-89 years in Employment","1999Q2","Male","Administrative and support service activities (N)","Thousand","28.1"
"Persons aged 15-89 years in Employment","1999Q2","Male","Public administration and defence, compulsory social security (O)","Thousand","46.1"
"Persons aged 15-89 years in Employment","1999Q2","Male","Education (P)","Thousand","32.6"
"Persons aged 15-89 years in Employment","1999Q2","Male","Human health and social work activities (Q)","Thousand","28.9"
"Persons aged 15-89 years in Employment","1999Q2","Male","Industry (B to E)","Thousand","228.9"
"Persons aged 15-89 years in Employment","1999Q2","Male","Industry and Construction (B to F)","Thousand","345.2"
"Persons aged 15-89 years in Employment","1999Q2","Male","Services (G to U)","Thousand","531.1"
"Persons aged 15-89 years in Employment","1999Q2","Male","Financial, insurance and real estate activities (K,L)","Thousand","33.8"
"Persons aged 15-89 years in Employment","1999Q2","Male","Other NACE activities (R to U)","Thousand","36.1"
"Persons aged 15-89 years in Employment","1999Q2","Male","Not stated","Thousand","5.8"
"Persons aged 15-89 years in Employment","1999Q2","Female","All NACE economic sectors","Thousand","677.4"
"Persons aged 15-89 years in Employment","1999Q2","Female","Agriculture, forestry and fishing (A)","Thousand","18.5"
"Persons aged 15-89 years in Employment","1999Q2","Female","Construction (F)","Thousand","4.2"
"Persons aged 15-89 years in Employment","1999Q2","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","113.3"
"Persons aged 15-89 years in Employment","1999Q2","Female","Transportation and storage (H)","Thousand","15.1"
"Persons aged 15-89 years in Employment","1999Q2","Female","Accommodation and food service activities (I)","Thousand","61"
"Persons aged 15-89 years in Employment","1999Q2","Female","Information and communication (J)","Thousand","26.9"
"Persons aged 15-89 years in Employment","1999Q2","Female","Professional, scientific and technical activities (M)","Thousand","32.8"
"Persons aged 15-89 years in Employment","1999Q2","Female","Administrative and support service activities (N)","Thousand","27.4"
"Persons aged 15-89 years in Employment","1999Q2","Female","Public administration and defence, compulsory social security (O)","Thousand","25.3"
"Persons aged 15-89 years in Employment","1999Q2","Female","Education (P)","Thousand","67.7"
"Persons aged 15-89 years in Employment","1999Q2","Female","Human health and social work activities (Q)","Thousand","100.5"
"Persons aged 15-89 years in Employment","1999Q2","Female","Industry (B to E)","Thousand","97.4"
"Persons aged 15-89 years in Employment","1999Q2","Female","Industry and Construction (B to F)","Thousand","101.6"
"Persons aged 15-89 years in Employment","1999Q2","Female","Services (G to U)","Thousand","553"
"Persons aged 15-89 years in Employment","1999Q2","Female","Financial, insurance and real estate activities (K,L)","Thousand","38.5"
"Persons aged 15-89 years in Employment","1999Q2","Female","Other NACE activities (R to U)","Thousand","44.4"
"Persons aged 15-89 years in Employment","1999Q2","Female","Not stated","Thousand","4.2"
"Persons aged 15-89 years in Employment","1999Q3","Both sexes","All NACE economic sectors","Thousand","1746.8"
"Persons aged 15-89 years in Employment","1999Q3","Both sexes","Agriculture, forestry and fishing (A)","Thousand","143.3"
"Persons aged 15-89 years in Employment","1999Q3","Both sexes","Construction (F)","Thousand","126.8"
"Persons aged 15-89 years in Employment","1999Q3","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","248"
"Persons aged 15-89 years in Employment","1999Q3","Both sexes","Transportation and storage (H)","Thousand","75.9"
"Persons aged 15-89 years in Employment","1999Q3","Both sexes","Accommodation and food service activities (I)","Thousand","119.7"
"Persons aged 15-89 years in Employment","1999Q3","Both sexes","Information and communication (J)","Thousand","77.7"
"Persons aged 15-89 years in Employment","1999Q3","Both sexes","Professional, scientific and technical activities (M)","Thousand","82.2"
"Persons aged 15-89 years in Employment","1999Q3","Both sexes","Administrative and support service activities (N)","Thousand","58"
"Persons aged 15-89 years in Employment","1999Q3","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","73.4"
"Persons aged 15-89 years in Employment","1999Q3","Both sexes","Education (P)","Thousand","97"
"Persons aged 15-89 years in Employment","1999Q3","Both sexes","Human health and social work activities (Q)","Thousand","134.9"
"Persons aged 15-89 years in Employment","1999Q3","Both sexes","Industry (B to E)","Thousand","337.3"
"Persons aged 15-89 years in Employment","1999Q3","Both sexes","Industry and Construction (B to F)","Thousand","464.1"
"Persons aged 15-89 years in Employment","1999Q3","Both sexes","Services (G to U)","Thousand","1127.1"
"Persons aged 15-89 years in Employment","1999Q3","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","75.7"
"Persons aged 15-89 years in Employment","1999Q3","Both sexes","Other NACE activities (R to U)","Thousand","84.4"
"Persons aged 15-89 years in Employment","1999Q3","Both sexes","Not stated","Thousand","12.2"
"Persons aged 15-89 years in Employment","1999Q3","Male","All NACE economic sectors","Thousand","1039.4"
"Persons aged 15-89 years in Employment","1999Q3","Male","Agriculture, forestry and fishing (A)","Thousand","124.8"
"Persons aged 15-89 years in Employment","1999Q3","Male","Construction (F)","Thousand","122.3"
"Persons aged 15-89 years in Employment","1999Q3","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","129.4"
"Persons aged 15-89 years in Employment","1999Q3","Male","Transportation and storage (H)","Thousand","59.8"
"Persons aged 15-89 years in Employment","1999Q3","Male","Accommodation and food service activities (I)","Thousand","52.1"
"Persons aged 15-89 years in Employment","1999Q3","Male","Information and communication (J)","Thousand","48.3"
"Persons aged 15-89 years in Employment","1999Q3","Male","Professional, scientific and technical activities (M)","Thousand","48.9"
"Persons aged 15-89 years in Employment","1999Q3","Male","Administrative and support service activities (N)","Thousand","29"
"Persons aged 15-89 years in Employment","1999Q3","Male","Public administration and defence, compulsory social security (O)","Thousand","46.7"
"Persons aged 15-89 years in Employment","1999Q3","Male","Education (P)","Thousand","33"
"Persons aged 15-89 years in Employment","1999Q3","Male","Human health and social work activities (Q)","Thousand","29.3"
"Persons aged 15-89 years in Employment","1999Q3","Male","Industry (B to E)","Thousand","236.1"
"Persons aged 15-89 years in Employment","1999Q3","Male","Industry and Construction (B to F)","Thousand","358.4"
"Persons aged 15-89 years in Employment","1999Q3","Male","Services (G to U)","Thousand","549.4"
"Persons aged 15-89 years in Employment","1999Q3","Male","Financial, insurance and real estate activities (K,L)","Thousand","35.5"
"Persons aged 15-89 years in Employment","1999Q3","Male","Other NACE activities (R to U)","Thousand","37.3"
"Persons aged 15-89 years in Employment","1999Q3","Male","Not stated","Thousand","6.9"
"Persons aged 15-89 years in Employment","1999Q3","Female","All NACE economic sectors","Thousand","707.4"
"Persons aged 15-89 years in Employment","1999Q3","Female","Agriculture, forestry and fishing (A)","Thousand","18.6"
"Persons aged 15-89 years in Employment","1999Q3","Female","Construction (F)","Thousand","4.5"
"Persons aged 15-89 years in Employment","1999Q3","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","118.6"
"Persons aged 15-89 years in Employment","1999Q3","Female","Transportation and storage (H)","Thousand","16.1"
"Persons aged 15-89 years in Employment","1999Q3","Female","Accommodation and food service activities (I)","Thousand","67.6"
"Persons aged 15-89 years in Employment","1999Q3","Female","Information and communication (J)","Thousand","29.4"
"Persons aged 15-89 years in Employment","1999Q3","Female","Professional, scientific and technical activities (M)","Thousand","33.3"
"Persons aged 15-89 years in Employment","1999Q3","Female","Administrative and support service activities (N)","Thousand","29"
"Persons aged 15-89 years in Employment","1999Q3","Female","Public administration and defence, compulsory social security (O)","Thousand","26.7"
"Persons aged 15-89 years in Employment","1999Q3","Female","Education (P)","Thousand","64"
"Persons aged 15-89 years in Employment","1999Q3","Female","Human health and social work activities (Q)","Thousand","105.6"
"Persons aged 15-89 years in Employment","1999Q3","Female","Industry (B to E)","Thousand","101.2"
"Persons aged 15-89 years in Employment","1999Q3","Female","Industry and Construction (B to F)","Thousand","105.7"
"Persons aged 15-89 years in Employment","1999Q3","Female","Services (G to U)","Thousand","577.8"
"Persons aged 15-89 years in Employment","1999Q3","Female","Financial, insurance and real estate activities (K,L)","Thousand","40.3"
"Persons aged 15-89 years in Employment","1999Q3","Female","Other NACE activities (R to U)","Thousand","47.1"
"Persons aged 15-89 years in Employment","1999Q3","Female","Not stated","Thousand","5.3"
"Persons aged 15-89 years in Employment","1999Q4","Both sexes","All NACE economic sectors","Thousand","1723.1"
"Persons aged 15-89 years in Employment","1999Q4","Both sexes","Agriculture, forestry and fishing (A)","Thousand","140.6"
"Persons aged 15-89 years in Employment","1999Q4","Both sexes","Construction (F)","Thousand","129.9"
"Persons aged 15-89 years in Employment","1999Q4","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","242"
"Persons aged 15-89 years in Employment","1999Q4","Both sexes","Transportation and storage (H)","Thousand","76.6"
